PROBE_ID	ENTREZ_GENE_ID	SYMBOL
ILMN_1762337	346389	7A5
ILMN_2055271	1	A1BG
ILMN_1736007	1	A1BG
ILMN_2383229	29974	A1CF
ILMN_1806310	29974	A1CF
ILMN_1779670	29974	A1CF
ILMN_1653355	23784	A26C3
ILMN_1717783	23784	A26C3
ILMN_1705025	23784	A26C3
ILMN_1814316	54715	A2BP1
ILMN_2359168	54715	A2BP1
ILMN_1731507	54715	A2BP1
ILMN_1787689	54715	A2BP1
ILMN_3241953	87769	A2LD1
ILMN_1745607	2	A2M
ILMN_2136495	144568	A2ML1
ILMN_1668111	127550	A3GALT2
ILMN_2295559	127550	A3GALT2
ILMN_1735045	53947	A4GALT
ILMN_1680754	51146	A4GNT
ILMN_2375184	404744	AAA1
ILMN_1659452	404744	AAA1
ILMN_1767388	404744	AAA1
ILMN_1675204	404744	AAA1
ILMN_1673870	404744	AAA1
ILMN_1755321	8086	AAAS
ILMN_1698554	65985	AACS
ILMN_1814092	401224	AACSL
ILMN_1760414	13	AADAC
ILMN_2061446	57552	AADACL1
ILMN_1676336	57552	AADACL1
ILMN_1752884	344752	AADACL2
ILMN_1660703	126767	AADACL3
ILMN_1668851	343066	AADACL4
ILMN_2270015	51166	AADAT
ILMN_1809959	51166	AADAT
ILMN_2357031	51166	AADAT
ILMN_1726986	51166	AADAT
ILMN_3237396	79719	AAGAB
ILMN_1688755	22848	AAK1
ILMN_1880387	22848	AAK1
ILMN_1689211	22848	AAK1
ILMN_1653165	14	AAMP
ILMN_1729835	15	AANAT
ILMN_1662364	16	AARS
ILMN_1674698	57505	AARS2
ILMN_1700461	80755	AARSD1
ILMN_1784269	132949	AASDH
ILMN_1698189	60496	AASDHPPT
ILMN_2096191	60496	AASDHPPT
ILMN_1678323	10157	AASS
ILMN_2157219	10157	AASS
ILMN_1703743	26574	AATF
ILMN_1687609	9625	AATK
ILMN_2068874	9625	AATK
ILMN_1699334	9625	AATK
ILMN_1670117	18	ABAT
ILMN_1805104	18	ABAT
ILMN_2404407	18	ABAT
ILMN_1766054	19	ABCA1
ILMN_1753388	10349	ABCA10
ILMN_2070570	10349	ABCA10
ILMN_2232084	79963	ABCA11
ILMN_1750250	26154	ABCA12
ILMN_2361400	26154	ABCA12
ILMN_1704579	154664	ABCA13
ILMN_1687636	20	ABCA2
ILMN_1747627	20	ABCA2
ILMN_1758523	21	ABCA3
ILMN_1794965	24	ABCA4
ILMN_1722286	23461	ABCA5
ILMN_1784176	23461	ABCA5
ILMN_1749001	23461	ABCA5
ILMN_1701551	23460	ABCA6
ILMN_1795507	23460	ABCA6
ILMN_1729894	10347	ABCA7
ILMN_1743205	10347	ABCA7
ILMN_2259319	10347	ABCA7
ILMN_2129886	10351	ABCA8
ILMN_1796801	10351	ABCA8
ILMN_1720501	10350	ABCA9
ILMN_1668446	10350	ABCA9
ILMN_1812070	5243	ABCB1
ILMN_2094875	5243	ABCB1
ILMN_1665730	23456	ABCB10
ILMN_2232066	8647	ABCB11
ILMN_1767349	5244	ABCB4
ILMN_1658257	340273	ABCB5
ILMN_2193980	10058	ABCB6
ILMN_1687840	22	ABCB7
ILMN_2102422	11194	ABCB8
ILMN_1788928	23457	ABCB9
ILMN_2343047	23457	ABCB9
ILMN_2343048	23457	ABCB9
ILMN_2335302	4363	ABCC1
ILMN_1802404	4363	ABCC1
ILMN_1776119	89845	ABCC10
ILMN_2358714	85320	ABCC11
ILMN_1732140	85320	ABCC11
ILMN_1713008	85320	ABCC11
ILMN_1762093	94160	ABCC12
ILMN_1709092	150000	ABCC13
ILMN_1678409	150000	ABCC13
ILMN_1774344	150000	ABCC13
ILMN_1676278	1244	ABCC2
ILMN_1717466	8714	ABCC3
ILMN_1677814	8714	ABCC3
ILMN_1788457	10257	ABCC4
ILMN_2194009	10257	ABCC4
ILMN_2302358	10057	ABCC5
ILMN_1706531	10057	ABCC5
ILMN_1651964	10057	ABCC5
ILMN_1725675	368	ABCC6
ILMN_1778352	368	ABCC6
ILMN_1725414	368	ABCC6
ILMN_2293902	368	ABCC6
ILMN_1801521	368	ABCC6
ILMN_2406654	368	ABCC6
ILMN_3246902	653190	ABCC6P1
ILMN_3244070	730013	ABCC6P2
ILMN_1767129	6833	ABCC8
ILMN_1746196	10060	ABCC9
ILMN_2366473	10060	ABCC9
ILMN_1751453	10060	ABCC9
ILMN_1772189	215	ABCD1
ILMN_1652959	225	ABCD2
ILMN_2198897	225	ABCD2
ILMN_1674032	5825	ABCD3
ILMN_1737656	5826	ABCD4
ILMN_2343917	5826	ABCD4
ILMN_1746032	5826	ABCD4
ILMN_1651501	5826	ABCD4
ILMN_2330267	6059	ABCE1
ILMN_1676846	6059	ABCE1
ILMN_2392635	23	ABCF1
ILMN_1763875	23	ABCF1
ILMN_2284941	10061	ABCF2
ILMN_1781999	10061	ABCF2
ILMN_1669201	10061	ABCF2
ILMN_1810085	55324	ABCF3
ILMN_2262362	9619	ABCG1
ILMN_1743638	9619	ABCG1
ILMN_1658176	9619	ABCG1
ILMN_2329927	9619	ABCG1
ILMN_1794782	9619	ABCG1
ILMN_1695968	9619	ABCG1
ILMN_1789641	9429	ABCG2
ILMN_1779470	64137	ABCG4
ILMN_1716592	64240	ABCG5
ILMN_1680309	64241	ABCG8
ILMN_1743371	84696	ABHD1
ILMN_1770031	55347	ABHD10
ILMN_2338268	83451	ABHD11
ILMN_1753912	83451	ABHD11
ILMN_1737475	83451	ABHD11
ILMN_1745116	26090	ABHD12
ILMN_2318685	26090	ABHD12
ILMN_2245305	26090	ABHD12
ILMN_1707925	145447	ABHD12B
ILMN_1698311	145447	ABHD12B
ILMN_2367487	145447	ABHD12B
ILMN_1785285	84945	ABHD13
ILMN_2073969	84945	ABHD13
ILMN_1794213	25864	ABHD14A
ILMN_2227533	84836	ABHD14B
ILMN_1769390	116236	ABHD15
ILMN_2403446	11057	ABHD2
ILMN_1787618	11057	ABHD2
ILMN_1723662	11057	ABHD2
ILMN_1801767	171586	ABHD3
ILMN_1700633	63874	ABHD4
ILMN_1655702	51099	ABHD5
ILMN_1706344	57406	ABHD6
ILMN_1719498	253152	ABHD7
ILMN_1712707	79575	ABHD8
ILMN_1699750	79852	ABHD9
ILMN_1739081	10006	ABI1
ILMN_2329958	10006	ABI1
ILMN_1775944	10152	ABI2
ILMN_1724497	10152	ABI2
ILMN_1720988	10152	ABI2
ILMN_1707274	10152	ABI2
ILMN_1755658	51225	ABI3
ILMN_1673639	25890	ABI3BP
ILMN_1713732	25	ABL1
ILMN_1708922	25	ABL1
ILMN_2268241	25	ABL1
ILMN_1741628	27	ABL2
ILMN_1657870	27	ABL2
ILMN_2240003	27	ABL2
ILMN_1785424	3983	ABLIM1
ILMN_1731610	3983	ABLIM1
ILMN_1696682	3983	ABLIM1
ILMN_2396672	3983	ABLIM1
ILMN_1758825	84448	ABLIM2
ILMN_1656940	22885	ABLIM3
ILMN_1656979	28	ABO
ILMN_1731433	26	ABP1
ILMN_1672878	29	ABR
ILMN_1655114	29	ABR
ILMN_1657045	29	ABR
ILMN_1766991	137735	ABRA
ILMN_1658083	29777	ABT1
ILMN_1802096	80325	ABTB1
ILMN_2367165	80325	ABTB1
ILMN_1753370	25841	ABTB2
ILMN_1738921	30	ACAA1
ILMN_1660199	10449	ACAA2
ILMN_2331636	31	ACACA
ILMN_1772123	31	ACACA
ILMN_1667641	31	ACACA
ILMN_1763852	32	ACACB
ILMN_1687303	80724	ACAD10
ILMN_1761058	84129	ACAD11
ILMN_2225595	27034	ACAD8
ILMN_1724699	27034	ACAD8
ILMN_1775579	28976	ACAD9
ILMN_1660890	33	ACADL
ILMN_1778104	34	ACADM
ILMN_2053679	34	ACADM
ILMN_1795104	35	ACADS
ILMN_1740920	36	ACADSB
ILMN_2263466	37	ACADVL
ILMN_1806408	37	ACADVL
ILMN_2352009	37	ACADVL
ILMN_1693148	176	ACAN
