BIOBASE accession	HGNC	Illumina	
GN000162381	NICN1	ILMN_1807211	
GN000199053	NKX2-6	0001580167;ILMN_1766678	
GN000161921	RBFA	0001580180;ILMN_1736130	
GN000001868	DTL	0003850136;ILMN_1779711;ILMN_1745251	
GN000078920	ADGRE3	ILMN_2348487	
GN000049932	GNAT1	0004540576;0002370500;ILMN_1750901;ILMN_1697315	
GN000124583	NAA30	0003870010;ILMN_1815660;ILMN_1857239;ILMN_2128087	
GN000008514	SCNN1A	0004780538;ILMN_1713995	
GN000163972	CACUL1	0004010301;ILMN_1792270	
GN000163370	EFHB	0003120673;0105720524;0005570039;ILMN_3178320;ILMN_2199409;ILMN_1704617	
GN000158204	SI	0004610450;ILMN_1739144;ILMN_2045849	
GN000007975	FST	0005290592;0000670685;ILMN_1700081;ILMN_1878026;ILMN_1712896	
GN000006584	OLIG1	0005130114;ILMN_1666089	
GN000156633	TNIK	0002640102;ILMN_1687442	
GN000159635	FAM156A	0106900184;0003170129;0101170427;ILMN_1883755;ILMN_1652000;ILMN_1705810;ILMN_3244110	
GN000002287	FSD1	0003840053;ILMN_1813490;ILMN_1694755;ILMN_1733781;ILMN_1669450	
GN000049631	DAB2	0002480427;ILMN_1764228;ILMN_2128428	
GN000003471	P2RY1	0003360373;ILMN_1772667;ILMN_1842850	
GN000087627	C2orf73	0001240632;ILMN_1797577	
GN000198903	TDGF1P3	0001400546;ILMN_1782862;ILMN_2060635;ILMN_1773979	
GN000159952	WDR5	0002640239;0002640131;ILMN_1728626;ILMN_1726049;ILMN_1737087;ILMN_1747425	
GN000089124	GPRIN3	0001190309;ILMN_1776435;ILMN_1901616	
GN000614182	OVOL3	0007050551;ILMN_3228369	
GN000077831	MS4A8	0003940164;ILMN_1808249	
GN000000480	COX11	0003450097;ILMN_1666280;ILMN_3287722	
GN000058500	TRIM58	0003990110;ILMN_1705458	
GN000158457	LZTR1	0001740538;ILMN_1805161	
GN000001601	PDSS1	0006450114;ILMN_2080611;ILMN_1703324	
GN000000736	NEK1	0004010148;ILMN_1699459;ILMN_2162234	
GN000000361	BMPR1A	0001400184;0104120025;ILMN_1706957	
GN000076247	PALB2	0004480538;ILMN_1723793	
GN000049938	GNRH2	0004070288;ILMN_2354285	
GN000082132	EXOC3L2	0004560397;ILMN_1670038	
GN000303300	MIR891B	ILMN_3310286	
GN000062003	TMEM160	0003130095;ILMN_1704024	
GN000163842	BEND6	0002060731;ILMN_3238319;ILMN_1706969	
GN000158971	SEMA4F	0006220056;ILMN_1805007	
GN000898361	TRIM39-RPP21	0004120161;ILMN_2186597	
GN000297100	RPS12P23	ILMN_3294074;ILMN_1680578	
GN000162814	TMEM261	ILMN_1769409	
GN000049983	GRINA	0004150039;ILMN_1796490;ILMN_2370872	
GN000058273	LILRA4	0003830300;ILMN_1702385	
GN000071011	ENGASE	ILMN_1815366;ILMN_1766457	
GN000199060	TMEM120B	0003190563;ILMN_1720498	
GN000050959	SPAG4	0000580253;ILMN_1684620	
GN000303681	MIR1470	ILMN_3308290	
GN000157659	FUT8	0006840398;0006840286;ILMN_1693152;ILMN_1741422	
GN000010556	SOAT1	0002810025;ILMN_1699100	
GN000063265	SEMA3G	0002570037;ILMN_1676067	
GN000550203	VTRNA2-1	ILMN_3310643	
GN000614554	TCEAL5	0002230725;ILMN_1749073	
GN000092335	ZNF699	0000430064;ILMN_1812805;ILMN_2205162	
GN000000705	MSMB	0000050372;0004730440;ILMN_1699243;ILMN_1790906;ILMN_2376313	
GN000302895	MIR639	ILMN_3310514	
GN000049606	CST3	0000580133;ILMN_1800354	
GN000000299	BTG1	0002570369;ILMN_1775743	
GN000297131	RPL9P18	ILMN_3200661;ILMN_3277137	
GN000159825	HSPA14	0005420594;ILMN_1797318	
GN000049412	CACNG1	0001190292;ILMN_1724306	
GN000157419	C6	0004570338;ILMN_1688242	
GN000163286	CNOT6L	0004050541;ILMN_1799069;ILMN_1802450;ILMN_2083833	
